date,sales,channel,category
2023-01-01,84210,All,Total
2023-02-01,76540,All,Total
2023-03-01,91880,All,Total
2023-04-01,94320,All,Total
2023-05-01,101540,All,Total
2023-06-01,128460,All,Total
2023-07-01,112300,All,Total
2023-08-01,108920,All,Total
2023-09-01,118870,All,Total
2023-10-01,136540,All,Total
2023-11-01,168880,All,Total
2023-12-01,193420,All,Total
2024-01-01,98200,All,Total
2024-02-01,86150,All,Total
2024-03-01,105240,All,Total
2024-04-01,109700,All,Total
2024-05-01,118340,All,Total
2024-06-01,151650,All,Total
2024-07-01,130980,All,Total
2024-08-01,127410,All,Total
2024-09-01,139760,All,Total
2024-10-01,157850,All,Total
2024-11-01,201460,All,Total
2024-12-01,229900,All,Total
2025-01-01,117520,All,Total
2025-02-01,104210,All,Total
2025-03-01,126880,All,Total
2025-04-01,132640,All,Total
2025-05-01,144300,All,Total
2025-06-01,181550,All,Total
2025-07-01,156770,All,Total
2025-08-01,153820,All,Total
2025-09-01,168940,All,Total
2025-10-01,190230,All,Total
2025-11-01,239880,All,Total
2025-12-01,274660,All,Total
